time,timestamp,right_position,heading,real_right_velocity,right_jerk,right_velocity,left_jerk,left_velocity,right_accel,right_error,real_heading,left_accel,left_error,real_left_velocity,left_position
118.75,107334,0.021,0.000,0.003,11.429,0.229,11.429,0.229,2.000,21.000,-0.010,2.000,47.000,0.000,0.021
118.75,107881,0.885,0.000,2.011,5.714,3.200,5.714,3.200,8.000,478.000,-0.670,8.000,457.000,1.832,0.885
118.75,109039,9.500,0.000,10.563,-11.429,9.986,-11.429,9.986,0.857,-269.000,-1.720,0.857,-273.000,10.268,9.500
118.75,107969,1.265,0.000,3.049,0.000,4.000,0.000,4.000,8.000,353.000,-1.010,8.000,327.000,2.921,1.265
118.75,110003,17.735,0.000,6.582,0.000,6.000,0.000,6.000,-8.000,-291.000,-3.010,-8.000,-351.000,6.813,17.735
118.75,108777,7.039,0.000,10.024,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.350,3.714,-314.000,10.290,7.039
118.75,110059,18.275,0.000,5.881,0.000,5.200,0.000,5.200,-8.000,-291.000,-3.000,-8.000,-299.000,6.211,18.275
118.75,107681,0.361,0.000,0.379,11.429,1.729,11.429,1.729,6.000,300.000,0.000,6.000,436.000,0.382,0.361
118.75,108597,5.204,0.000,9.030,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.350,6.000,33.000,9.227,5.204
118.75,110717,19.935,0.000,0.396,11.429,0.700,11.429,0.700,-4.286,107.000,-3.960,-4.286,214.000,0.331,19.935
118.75,109416,13.435,0.000,10.423,-11.429,9.486,-11.429,9.486,-3.143,-278.000,-3.080,-3.143,-241.000,10.328,13.435
118.75,108871,8.010,0.000,9.794,-11.429,9.771,-11.429,9.771,2.571,-64.000,-0.470,2.571,-314.000,10.761,8.010
118.75,108527,4.775,0.000,8.233,-11.429,8.271,-11.429,8.271,6.571,116.000,-0.530,6.571,33.000,8.249,4.775
118.75,109701,15.639,0.000,9.257,-11.429,8.272,-11.429,8.272,-6.000,-378.000,-3.220,-6.000,-387.000,9.322,15.639
118.75,110998,19.999,0.000,-0.062,11.429,0.057,11.429,0.057,-1.429,68.000,-3.920,-1.429,84.000,0.005,19.999
118.75,109387,12.961,0.000,10.460,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-3.060,-2.571,-241.000,10.376,12.961
118.75,109336,12.479,0.000,10.444,-11.429,9.771,-11.429,9.771,-2.000,-207.000,-3.040,-2.000,-241.000,10.366,12.479
118.75,107497,0.100,0.000,0.014,11.429,0.700,11.429,0.700,3.714,131.000,-0.020,3.714,257.000,0.000,0.100
118.75,110377,19.415,0.000,2.967,0.000,2.800,0.000,2.800,-8.000,-19.000,-3.710,-8.000,-83.000,2.892,19.415
118.76,111021,20.000,0.000,-0.073,11.429,0.014,11.429,0.014,-0.857,68.000,-3.910,-0.857,84.000,0.003,20.000
118.76,109801,16.415,0.000,8.588,-11.429,7.586,-11.429,7.586,-7.143,-378.000,-3.180,-7.143,-372.000,8.715,16.415
118.76,110142,18.515,0.000,5.179,-0.000,4.800,-0.000,4.800,-8.000,-144.000,-3.030,-8.000,-299.000,5.187,18.515
118.76,107615,0.275,0.000,0.160,11.429,1.429,11.429,1.429,5.429,300.000,0.030,5.429,257.000,0.182,0.275
118.76,109134,10.500,0.000,10.694,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.490,0.000,-234.000,10.455,10.500
118.76,110490,19.639,0.000,1.845,11.426,2.057,11.426,2.057,-7.143,152.000,-3.720,-7.143,35.000,1.745,19.639
118.76,109820,16.775,0.000,8.330,-11.429,7.200,-11.429,7.200,-7.714,-423.000,-3.170,-7.714,-372.000,8.347,16.775
118.76,110593,19.797,0.000,1.125,11.429,1.429,11.429,1.429,-6.000,152.000,-3.900,-6.000,161.000,1.016,19.797
118.76,109737,16.036,0.000,9.119,-11.429,7.943,-11.429,7.943,-6.571,-378.000,-3.190,-6.571,-387.000,9.084,16.036
118.76,110301,19.115,0.000,3.848,0.000,3.600,0.000,3.600,-8.000,-144.000,-3.470,-8.000,-83.000,3.639,19.115
118.76,109943,17.435,0.000,7.287,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.070,-8.000,-351.000,7.222,17.435
118.76,110982,19.999,0.000,-0.062,11.429,0.057,11.429,0.057,-1.429,68.000,-3.920,-1.429,84.000,0.005,19.999
