timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
89281.275,-0.00,0.00,false,140,true,true
89300.73899999999,-0.00,0.00,false,141,true,true
89321.27,-0.00,0.00,false,142,true,true
89341.39899999999,-0.00,0.00,false,143,true,true
89361.378,-0.00,0.00,false,144,true,true
89381.459,-0.00,0.00,false,145,true,true
89400.835,-0.00,0.00,false,146,true,true
89421.72600000001,-0.00,0.00,false,147,true,true
89441.825,-0.00,0.00,false,148,true,true
89461.08099999999,-0.00,0.00,false,149,true,true
89480.746,-0.00,0.00,false,150,true,true
89521.101,-0.00,0.00,false,151,true,true
89540.92599999999,-0.00,0.00,false,152,true,true
89561.83,-0.00,0.00,false,153,true,true
89601.444,-0.00,0.00,false,154,true,true
89620.686,-0.00,0.00,false,155,true,true
89641.285,-0.00,0.00,false,156,true,true
89660.70499999999,-0.00,0.00,false,157,true,true
89680.92199999999,-0.00,0.00,false,158,true,true
89701.375,-0.00,0.00,false,159,true,true
89720.803,-0.00,0.00,false,160,true,true
89741.189,-0.00,0.00,false,161,true,true
89760.415,-0.00,0.00,false,162,true,true
89780.47200000001,-0.00,0.00,false,163,true,true
89801.48800000001,-0.00,0.00,false,164,true,true
89821.536,-0.00,0.00,false,165,true,true
89841.397,-0.00,0.00,false,166,true,true
89861.459,-0.00,0.00,false,167,true,true
89901.192,-0.00,0.00,false,168,true,true
89921.02,-0.00,0.00,false,169,true,true
89941.221,-0.00,0.00,false,170,true,true
89960.831,-0.00,0.00,false,171,true,true
89981.889,-0.00,0.00,false,172,true,true
90001.596,-0.00,0.00,false,173,true,true
90021.654,-0.00,0.00,false,174,true,true
90041.03600000001,-0.00,0.00,false,175,true,true
90060.17,-0.00,0.00,false,176,true,true
90080.225,-0.00,0.00,false,177,true,true
90100.96900000001,-0.00,0.00,false,178,true,true
90121.379,-0.00,0.00,false,179,true,true
90140.754,-0.00,0.00,false,180,true,true
90161.523,-0.00,0.00,false,181,true,true
90181.312,-0.00,0.00,false,182,true,true
90200.712,-0.00,0.00,false,183,true,true
90221.239,-0.00,0.00,false,184,true,true
90240.843,-0.00,0.00,false,185,true,true
90260.903,-0.00,0.00,false,186,true,true
90281.462,-0.00,0.00,false,187,true,true
90301.615,-0.00,0.00,false,188,true,true
90341.207,-0.00,0.00,false,189,true,true
90361.254,-0.00,0.00,false,190,true,true
90380.437,-0.00,0.00,false,191,true,true
90400.799,-0.00,0.00,false,192,true,true
90421.486,-0.00,0.00,false,193,true,true
90440.74399999999,-0.00,0.00,false,194,true,true
90461.152,-0.00,0.00,false,195,true,true
90481.179,-0.00,0.00,false,196,true,true
90500.325,-0.00,0.00,false,197,true,true
90520.803,-0.00,0.00,false,198,true,true
90540.942,-0.00,0.00,false,199,true,true
90561.56300000001,-0.00,0.00,false,200,true,true
90580.659,-0.00,0.00,false,201,true,true
90601.461,-0.00,0.00,false,202,true,true
90621.218,-0.00,0.00,false,203,true,true
90640.338,-0.00,0.00,false,204,true,true
90661.14199999999,-0.00,0.00,false,205,true,true
90680.465,-0.00,0.00,false,206,true,true
90700.833,-0.00,0.00,false,207,true,true
90721.052,-0.00,0.00,false,208,true,true
90740.44,-0.00,0.00,false,209,true,true
90760.603,-0.00,0.00,false,210,true,true
90781.538,-0.00,0.00,false,211,true,true
90800.827,-0.00,0.00,false,212,true,true
90821.35800000001,-0.00,0.00,false,213,true,true
90840.951,-0.00,0.00,false,214,true,true
90861.30099999999,-0.00,0.00,false,215,true,true
90881.369,-0.00,0.00,false,216,true,true
90901.126,-0.00,0.00,false,217,true,true
90920.42700000001,-0.00,0.00,false,218,true,true
90941.388,-0.00,0.00,false,219,true,true
90960.592,-0.00,0.00,false,220,true,true
90981.50099999999,-0.00,0.00,false,221,true,true
91000.605,-0.00,0.00,false,222,true,true
91021.299,-0.00,0.00,false,223,true,true
91040.515,-0.00,0.00,false,224,true,true
91061.245,-0.00,0.00,false,225,true,true
91080.48300000001,-0.00,0.00,false,226,true,true
91101.524,-0.00,0.00,false,227,true,true
91120.745,-0.00,0.00,false,228,true,true
91141.079,-0.00,0.00,false,229,true,true
91161.16200000001,-0.00,0.00,false,230,true,true
91181.137,-0.00,0.00,false,231,true,true
91200.268,-0.00,0.00,false,232,true,true
91220.425,-0.00,0.00,false,233,true,true
91241.33899999999,-0.00,0.00,false,234,true,true
91261.033,-0.00,0.00,false,235,true,true
91280.568,-0.00,0.00,false,236,true,true
91301.231,-0.00,0.00,false,237,true,true
91320.9,-0.00,0.00,false,238,true,true
91341.64300000001,-0.00,0.00,false,239,true,true
91361.349,-0.00,0.00,false,240,true,true
91380.56199999999,-0.00,0.00,false,241,true,true
91401.5,-0.00,0.00,false,242,true,true
91421.099,-0.00,0.00,false,243,true,true
91440.39,-0.00,0.00,false,244,true,true
91461.432,-0.00,0.00,false,245,true,true
91481.275,-0.00,0.00,false,246,true,true
91500.72,-0.00,0.00,false,247,true,true
91521.754,-0.00,0.00,false,248,true,true
91541.879,-0.00,0.00,false,249,true,true
91561.82699999999,-0.00,0.00,false,250,true,true
91581.36,-0.00,0.00,false,251,true,true
91600.513,-0.00,0.00,false,252,true,true
91620.825,-0.00,0.00,false,253,true,true
91640.908,-0.00,0.00,false,254,true,true
91661.743,-0.00,0.00,false,255,true,true
91681.285,-0.00,0.00,false,256,true,true
91701.324,-0.00,0.00,false,257,true,true
91720.733,-0.00,0.00,false,258,true,true
91741.29999999999,-0.00,0.00,false,259,true,true
91761.14,-0.00,0.00,false,260,true,true
91780.202,-0.00,0.00,false,261,true,true
91800.81599999999,-0.00,0.00,false,262,true,true
91821.557,-0.00,0.00,false,263,true,true
91840.925,-0.00,0.00,false,264,true,true
91861.47,-0.00,0.00,false,265,true,true
91881.133,-0.00,0.00,false,266,true,true
91900.80399999999,-0.00,0.00,false,267,true,true
91921.705,-0.00,0.00,false,268,true,true
91940.92000000001,-0.00,0.00,false,269,true,true
91961.00300000001,-0.00,0.00,false,270,true,true
91981.795,-0.00,0.00,false,271,true,true
92001.525,-0.00,0.00,false,272,true,true
92021.495,-0.00,0.00,false,273,true,true
92041.15000000001,-0.00,0.00,false,274,true,true
92061.159,-0.00,0.00,false,275,true,true
92080.81300000001,-0.00,0.00,false,276,true,true
92100.85100000001,-0.00,0.00,false,277,true,true
92121.38,-0.00,0.00,false,278,true,true
92140.715,-0.00,0.00,false,279,true,true
92161.928,-0.00,0.00,false,280,true,true
92181.569,-0.00,0.00,false,281,true,true
92201.493,-0.00,0.00,false,282,true,true
92220.99799999999,-0.00,0.00,false,283,true,true
