time,leftSpline,leftAdjusted,rightSpline,rightAdjusted,headingSpline,gyroAngle,leftReal,rightReal,leftError,rightError
2002.1,0.028571,0.028571,0.028571,0.028571,0.0,0.0,0.0,0.0,-20,25
2002.11,0.028571,0.028571,0.028571,0.028571,0.0,0.0,0.0,0.0,-20,25
2002.12,0.028571,0.028571,0.028571,0.028571,0.0,0.0,0.0,0.0,-20,25
2002.13,0.028571,0.028571,0.028571,0.028571,0.0,0.0,0.0,0.0,-20,25
2002.14,0.028571,0.028571,0.028571,0.028571,0.0,0.0,0.0,0.0,-20,25
2002.16,0.057143,0.057143,0.057143,0.057143,0.0,0.0,0.0,0.0,-20,25
2002.17,0.057143,0.057143,0.057143,0.057143,0.0,0.0,0.0,0.0,-20,25
2002.18,0.057143,0.057143,0.057143,0.057143,0.0,0.0,0.0,0.0,-20,25
2002.19,0.057143,0.057143,0.057143,0.057143,0.0,0.0,0.0,0.0,-20,25
2002.2,0.128571,0.128571,0.128571,0.128571,0.0,0.0,0.0,0.0,-20,21
2002.21,0.128571,0.128571,0.128571,0.128571,0.0,0.0,0.0,0.0,-20,21
2002.23,0.128571,0.128571,0.128571,0.128571,0.0,0.0,0.0,0.0,47,21
2002.24,0.128571,0.128571,0.128571,0.128571,0.0,0.0,0.0,0.0,47,21
2002.25,0.128571,0.128571,0.128571,0.128571,0.0,0.0,0.0,0.0,47,21
2002.26,0.228571,0.228571,0.228571,0.228571,0.0,0.0,0.0,0.0,47,21
2002.27,0.228571,0.228571,0.228571,0.228571,0.0,0.0,0.0,0.0,47,21
2002.28,0.228571,0.228571,0.228571,0.228571,0.0,0.0,0.0,0.0,47,21
2002.3,0.228571,0.228571,0.228571,0.228571,0.0,0.0,0.0,0.0,47,21
2002.31,0.357143,0.357143,0.357143,0.357143,0.0,0.0,0.0,0.0,47,21
2002.32,0.357143,0.357143,0.357143,0.357143,0.0,0.0,0.0,0.0,47,21
2002.33,0.357143,0.357143,0.357143,0.357143,0.0,0.0,0.0,0.0,47,21
2002.34,0.357143,0.357143,0.357143,0.357143,0.0,0.0,0.0,0.0,47,21
2002.36,0.514286,0.514286,0.514286,0.514286,0.0,0.0,0.0,0.0,47,21
2002.37,0.514286,0.514286,0.514286,0.514286,0.0,0.0,0.0,0.0,47,189
2002.38,0.514286,0.514286,0.514286,0.514286,0.0,0.0,0.0,0.005419921875000001,47,189
2002.39,0.514286,0.514286,0.514286,0.514286,0.0,0.0,0.0,0.005419921875000001,189,189
2002.4,0.7,0.7,0.7,0.7,0.0,-0.010009765625,0.0,0.010839843750000001,189,189
2002.42,0.7,0.701201171875,0.7,0.6987988281249999,0.0,-0.010009765625,0.0,0.010839843750000001,189,189
2002.43,0.7,0.701201171875,0.7,0.6987988281249999,0.0,-0.010009765625,0.0,0.0135498046875,189,189
2002.44,0.7,0.701201171875,0.7,0.6987988281249999,0.0,-0.010009765625,0.0,0.016259765625000002,189,189
2002.45,0.914286,0.9154871718750001,0.914286,0.913084828125,0.0,-0.010009765625,0.0,0.016259765625000002,189,189
2002.46,0.914286,0.9154871718750001,0.914286,0.913084828125,0.0,-0.010009765625,0.0,0.018969726562500004,189,189
2002.47,0.914286,0.9154871718750001,0.914286,0.913084828125,0.0,-0.010009765625,0.0,0.018969726562500004,189,189
2002.48,0.914286,0.9154871718750001,0.914286,0.913084828125,0.0,-0.010009765625,0.0,0.029809570312500006,189,189
2002.5,0.914286,0.914286,0.914286,0.914286,0.0,0.0,0.0,0.029809570312500006,189,189
2002.51,1.157143,1.155945490234375,1.157143,1.158340509765625,0.0,0.009979248046875,0.0,0.07858886718750001,189,189
2002.52,1.157143,1.155945490234375,1.157143,1.158340509765625,0.0,0.009979248046875,0.008129882812500001,0.0948486328125,189,391
2002.53,1.157143,1.155945490234375,1.157143,1.158340509765625,0.0,0.009979248046875,0.008129882812500001,0.0948486328125,189,391
2002.54,1.157143,1.15954534375,1.157143,1.15474065625,0.0,-0.02001953125,0.03793945312500001,0.13278808593750002,410,391
2002.56,1.428571,1.43097334375,1.428571,1.42616865625,0.0,-0.02001953125,0.03793945312500001,0.13278808593750002,410,391
2002.57,1.428571,1.432170853515625,1.428571,1.424971146484375,0.0,-0.029998779296875,0.0894287109375,0.1815673828125,410,391
2002.58,1.428571,1.434573197265625,1.428571,1.422568802734375,0.0,-0.050018310546875,0.0894287109375,0.23034667968750003,410,391
2002.59,1.428571,1.434573197265625,1.428571,1.422568802734375,0.0,-0.050018310546875,0.14091796875,0.23034667968750003,410,391
2002.6,1.728571,1.73697187890625,1.728571,1.7201701210937501,0.0,-0.07000732421875,0.2140869140625,0.26015625000000003,410,391
2002.61,1.728571,1.741772904296875,1.728571,1.7153690957031251,0.0,-0.110015869140625,0.2140869140625,0.26015625000000003,410,391
2002.63,1.728571,1.741772904296875,1.728571,1.7153690957031251,0.0,-0.110015869140625,0.28454589843750006,0.3495849609375,410,391
2002.64,1.728571,1.748972611328125,1.728571,1.7081693886718752,0.0,-0.170013427734375,0.28454589843750006,0.4363037109375,410,391
2002.65,2.057143,2.0871429999999997,2.057143,2.027143,0.0,-0.25,0.3604248046875,0.4363037109375,410,391
2002.66,2.057143,2.0871429999999997,2.057143,2.027143,0.0,-0.25,0.44443359375,0.536572265625,410,391
2002.67,2.057143,2.08954534375,2.057143,2.02474065625,0.0,-0.27001953125,0.44443359375,0.536572265625,410,391
2002.69,2.057143,2.093145197265625,2.057143,2.021140802734375,0.0,-0.300018310546875,0.5555419921875001,0.6531005859375001,410,502
2002.7,2.057143,2.0979462226562497,2.057143,2.01633977734375,0.0,-0.34002685546875,0.5555419921875001,0.76962890625,410,502
2002.71,2.414286,2.45508922265625,2.414286,2.3734827773437503,0.0,-0.34002685546875,0.6693603515625001,0.76962890625,516,502
2002.72,2.414286,2.4610877578125003,2.414286,2.3674842421875,0.0,-0.3900146484375,0.796728515625,0.894287109375,516,502
2002.74,2.414286,2.464687611328125,2.414286,2.3638843886718752,0.0,-0.420013427734375,0.796728515625,0.894287109375,516,502
2002.75,2.414286,2.464687611328125,2.414286,2.3638843886718752,0.0,-0.420013427734375,0.9240966796875002,1.0352050781250002,516,502
2002.76,2.8,2.85400146484375,2.8,2.7459985351562497,0.0,-0.45001220703125,0.9240966796875002,1.1950927734375,516,502
2002.77,2.8,2.86,2.8,2.7399999999999998,0.0,-0.5,1.0650146484375003,1.1950927734375,516,502
2002.78,2.8,2.86,2.8,2.7399999999999998,0.0,-0.5,1.2113525390625002,1.344140625,516,502
2002.79,2.8,2.8635998535156246,2.8,2.736400146484375,0.0,-0.529998779296875,1.2113525390625002,1.344140625,516,502
2002.81,3.2,3.266002197265625,3.2,3.1339978027343753,0.0,-0.550018310546875,1.3820800781250002,1.50673828125,516,502
2002.82,3.2,3.266002197265625,3.2,3.1339978027343753,0.0,-0.550018310546875,1.3820800781250002,1.50673828125,516,502
2002.83,3.2,3.26719970703125,3.2,3.13280029296875,0.0,-0.55999755859375,1.5853271484375,1.6828857421875,516,502
2002.84,3.2,3.26840087890625,3.2,3.13159912109375,0.0,-0.57000732421875,1.7912841796875,1.8454833984375003,516,502
2002.85,3.6,3.66840087890625,3.6,3.53159912109375,0.0,-0.57000732421875,1.7912841796875,1.8454833984375003,516,461
2002.87,3.6,3.66840087890625,3.6,3.53159912109375,0.0,-0.57000732421875,1.9945312500000003,2.0135009765625003,600,461
2002.88,3.6,3.66719970703125,3.6,3.53280029296875,0.0,-0.55999755859375,1.9945312500000003,2.0135009765625003,600,461
2002.89,3.6,3.66719970703125,3.6,3.53280029296875,0.0,-0.55999755859375,2.1679687500000004,2.20048828125,600,461
2002.9,4.0,4.06719970703125,4.0,3.93280029296875,0.0,-0.55999755859375,2.3603759765625005,2.3928955078125003,600,461
