time,leftSpline,leftAdjusted,rightSpline,rightAdjusted,headingSpline,gyroAngle,leftReal,rightReal,leftError,rightError
120.96,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
120.97,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
120.97,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
120.98,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
120.98,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
120.99,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
121,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
121,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
121.01,0.028571,0.028571,0.028571,0.028571,0,0,0,0,-3,46
121.02,0.057143,0.057143,0.057143,0.057143,0,0,0,0,-3,46
121.04,0.057143,0.057143,0.057143,0.057143,0,0,0,0,-3,46
121.05,0.057143,0.057143,0.057143,0.057143,0,0,0,0,-3,46
121.06,0.057143,0.057143,0.057143,0.057143,0,0,0,0,-3,46
121.08,0.128571,0.128571,0.128571,0.128571,0,0,0,0,-3,46
121.08,0.128571,0.128571,0.128571,0.128571,0,0,0,0,-3,46
121.1,0.128571,0.128571,0.128571,0.128571,0,0,0,0,-3,46
121.1,0.128571,0.128571,0.128571,0.128571,0,0,0,0,47,46
121.11,0.128571,0.128470902,0.128571,0.128671098,0,-0.010009766,0,0,47,46
121.11,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,46
121.12,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,46
121.12,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,46
121.13,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,46
121.14,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,46
121.14,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,84
121.15,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,84
121.15,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,84
121.16,0.228571,0.228470902,0.228571,0.228671098,0,-0.010009766,0,0,47,84
121.17,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.17,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.18,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.18,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.19,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.19,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.2,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.21,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.21,0.357143,0.357042902,0.357143,0.357243098,0,-0.010009766,0,0,47,84
121.22,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.23,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.23,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.23,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.24,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.24,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.24,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.25,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.25,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.25,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,47,84
121.26,0.514286,0.514185902,0.514286,0.514386098,0,-0.010009766,0,0,189,84
121.27,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.27,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.27,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.28,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.28,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.28,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.28,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.29,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.29,0.7,0.7,0.7,0.7,0,0,0,0,189,84
121.29,0.7,0.7,0.7,0.7,0,-0.010009766,0,0,189,84
121.3,0.7,0.699899902,0.7,0.700100098,0,-0.010009766,0,0.002709961,189,256
121.3,0.7,0.699899902,0.7,0.700100098,0,-0.010009766,0,0.002709961,189,256
121.31,0.7,0.699899902,0.7,0.700100098,0,-0.010009766,0,0.002709961,189,256
121.32,0.914286,0.914085805,0.914286,0.914486195,0,-0.020019531,0,0.016259766,189,256
121.32,0.914286,0.914085805,0.914286,0.914486195,0,-0.020019531,0,0.016259766,189,256
121.33,0.914286,0.914085805,0.914286,0.914486195,0,-0.020019531,0,0.016259766,189,256
121.34,0.914286,0.913985707,0.914286,0.914586293,0,-0.030029297,0,0.016259766,189,256
121.34,0.914286,0.913985707,0.914286,0.914586293,0,-0.030029297,0,0.016259766,189,256
121.35,0.914286,0.913985707,0.914286,0.914586293,0,-0.030029297,0,0.016259766,189,256
121.35,0.914286,0.913985707,0.914286,0.914586293,0,-0.030029297,0,0.016259766,189,256
121.36,0.914286,0.913985707,0.914286,0.914586293,0,-0.030029297,0.021679688,0.035229492,189,256
121.37,1.157143,1.156942805,1.157143,1.157343195,0,-0.020019531,0.021679688,0.035229492,189,256
121.37,1.157143,1.156942805,1.157143,1.157343195,0,-0.020019531,0.021679688,0.035229492,189,256
121.38,1.157143,1.156942805,1.157143,1.157343195,0,-0.020019531,0.05690918,0.08671875,189,256
121.38,1.157143,1.157042902,1.157143,1.157243098,0,-0.010009766,0.05690918,0.08671875,189,256
121.39,1.157143,1.157042902,1.157143,1.157243098,0,-0.010009766,0.05690918,0.08671875,189,256
121.39,1.157143,1.157042902,1.157143,1.157243098,0,-0.010009766,0.05690918,0.08671875,189,256
121.4,1.157143,1.157042902,1.157143,1.157243098,0,-0.010009766,0.094848633,0.127368164,189,256
121.41,1.157143,1.156742915,1.157143,1.157543085,0,-0.040008545,0.094848633,0.127368164,189,256
121.41,1.428571,1.428170915,1.428571,1.428971085,0,-0.040008545,0.094848633,0.127368164,189,256
121.42,1.428571,1.428170915,1.428571,1.428971085,0,-0.040008545,0.094848633,0.176147461,189,256
121.42,1.428571,1.427970719,1.428571,1.429171281,0,-0.060028076,0.130078125,0.176147461,477,256
121.43,1.428571,1.427970719,1.428571,1.429171281,0,-0.060028076,0.130078125,0.176147461,477,256
121.43,1.428571,1.427970719,1.428571,1.429171281,0,-0.060028076,0.130078125,0.176147461,477,256
121.44,1.428571,1.427670731,1.428571,1.429471269,0,-0.090026855,0.130078125,0.262866211,477,256
121.45,1.428571,1.427670731,1.428571,1.429471269,0,-0.090026855,0.165307617,0.262866211,477,256
