0.001024, 0.040972, 50
0.004345, 0.066412, 50
0.011811, 0.149317, 50
0.024237, 0.248523, 50
0.041598, 0.347215, 50
0.063856, 0.445177, 50
0.090966, 0.542182, 50
0.122865, 0.637992, 50
0.159483, 0.732349, 50
0.200732, 0.824981, 50
0.246511, 0.915593, 50
0.296705, 1.003874, 50
0.351180, 1.089493, 50
0.409785, 1.172108, 50
0.472354, 1.251375, 50
0.538702, 1.326967, 50
0.608632, 1.398601, 50
0.681936, 1.466079, 50
0.758404, 1.529351, 50
0.837833, 1.588595, 50
0.920050, 1.644322, 50
1.004924, 1.697497, 50
1.092408, 1.749663, 50
1.182560, 1.803041, 50
1.275587, 1.860546, 50
1.371871, 1.925679, 50
1.471983, 2.002236, 50
1.576675, 2.093844, 50
1.686844, 2.203385, 50
1.803467, 2.332462, 50
1.927522, 2.481092, 50
2.059908, 2.647716, 50
2.201385, 2.829553, 50
2.352542, 3.023143, 50
2.513788, 3.224920, 50
2.685372, 3.431676, 50
2.867414, 3.640836, 50
3.059943, 3.850570, 50
3.262931, 4.059774, 50
3.476331, 4.267988, 50
3.700095, 4.475297, 50
3.934208, 4.682241, 50
4.178695, 4.889749, 50
4.432642, 5.078944, 50
4.693897, 5.225090, 50
4.959206, 5.306177, 50
5.225425, 5.324388, 50
5.490610, 5.303694, 50
5.753864, 5.265094, 50
6.015172, 5.226147, 50
6.274557, 5.187703, 50
6.532067, 5.150210, 50
6.787750, 5.113646, 50
7.041621, 5.077422, 50
7.293635, 5.040289, 50
7.543648, 5.000259, 50
7.791379, 4.954616, 50
8.036382, 4.900055, 50
8.278032, 4.833000, 50
8.515537, 4.750095, 50
8.747976, 4.648784, 50
8.974367, 4.527829, 50
9.193747, 4.387591, 50
9.405245, 4.229975, 50
9.608148, 4.058059, 50
9.801925, 3.875541, 50
9.986234, 3.686178, 50
10.160902, 3.493358, 50
10.325895, 3.299847, 50
10.481280, 3.107713, 50
10.627199, 2.918368, 50
10.763832, 2.732670, 50
10.891385, 2.551050, 50
11.010066, 2.373632, 50
11.120083, 2.200329, 50
11.221629, 2.030923, 50
11.314885, 1.865119, 50
11.400014, 1.702585, 50
11.477163, 1.542979, 50
11.546461, 1.385959, 50
11.608021, 1.231201, 50
11.661941, 1.078395, 50
11.708303, 0.927254, 50
11.747179, 0.777507, 50
11.778624, 0.628903, 50
11.802684, 0.481205, 50
11.819394, 0.334189, 50
11.829040, 0.192934, 50
11.833120, 0.081595, 50
11.834074, 0.019073, 50
11.834074, 0.000000, 50
